,0_x,STATION,0_y,1
69,1,ALLERTON AV-WHITE PLAINS RD,40.8647509,-73.86746190000001
70,5,AVENUE I-MCDONALD AVENUE,40.647694,-73.98036390000001
71,1,AVENUE P-MCDONALD AVENUE,40.6088388,-73.9729855
72,3,AVENUE U-MCDONALD AVENUE,40.596016999999996,-73.9733635
73,1,AVENUE X-MCDONALD AVENUE,40.5901547,-73.97418590000001
74,7,BARCLAYS CENTER,40.682612899999995,-73.9751106552432
75,1,BAY 50TH STREET-STILLWELL,40.5886755,-73.9837274
76,4,BAY PARKWAY-86TH STREET,40.6019098,-73.9938063
77,2,BAY RIDGE - 95TH STREET,40.6161881,-74.03101269999999
78,8,BAY RIDGE AVE-4TH AVENUE,40.6346594,-74.0234751
79,12,BERGEN STREET,40.6824707,-73.97956059999999
80,33,BOWLING GREEN & BROADWAY,40.70496825,-74.01365750602359
81,94,BROADWAY & 31ST STREET,40.7619533,-73.9253765
82,2,BROADWAY - UNION AVENUE,40.7056438,-73.950212
83,135,BROADWAY-EAST NEW YORK,40.7692188,-73.9818193
84,3,BRONX PARK EAST,40.852088,-73.8686089
85,3,BROOKLYN BRIDGE,40.701042799999996,-73.9903533
86,1,BURKE AVE-WHITE PLAINS ROAD,40.870693200000005,-73.867271
87,6,BURNSIDE AVE-JEROME AVE,40.853432899999994,-73.9077223
88,56,CANAL STREET,40.724222,-74.0086439
89,91,CANAL STREET-BROADWAY,40.7195085,-74.00160670000001
90,44,CARROLL ST-PRESIDENT ST,40.6810586,-73.9944893
91,10,CENTRAL AVE-MYRTLE AVE,40.6978875,-73.9274247
92,96,CHAMBERS STREET,40.71552,-74.00923890000001
93,178,CHRISTOPHER ST-SHERIDAN SQ,40.7335943,-74.00278440000001
94,3,CHURCH AVENUE,40.649401399999995,-73.9631665
95,39,CITY HALL,40.7127391,-74.0059511769427
96,21,CLARK STREET-HENRY STREET,40.6974653,-73.99302220000001
97,36,CORTLANDT STREET,40.709806,-74.00998790000001
98,26,COURT SQ,40.746524900000004,-73.9430474
99,1,CRESCENT STREET-FULTON ST,40.68334960000001,-73.873286
100,6,DEKALB AVE-WYCKOFF AVE,40.704312,-73.9192304
101,12,DEKALB AVENUE,40.6899292,-73.98154029999999
102,1,DITMAS AVE-MCDONALD AVE,40.636306299999994,-73.9781943
103,4,DYCKMAN STREET,40.859364899999996,-73.9233135
104,8,DYCKMAN STREET-BROADWAY,40.8653722,-73.9277222
105,1,EAST 149TH ST-SOUTHERN BLVD,40.8119971,-73.90419659999999
106,14,EASTERN PARKWAY,40.672951899999994,-73.9681929
107,1,ELDER AVE-WESTCHESTER AVE,40.8285672,-73.8792849
