,STATION,LAT,LON,FF,Pickup_Count,Dropoff_count,Ratio Pickup/FF,Pickup div Drop_off
40,EASTERN PARKWAY,40.6729519,-73.9681929,10456,1,14,9.56389E-05,0.071428571
86,ELDER AVE-WESTCHESTER AVE,40.8285672,-73.8792849,15396,,1,0,0
112,ELMHURST AVE-BROADWAY,40.7421495,-73.8814583,27856,2,4,7.17978E-05,0.5
8,FIFTH AVENUE,40.75801405,-73.97695637,88005,279,261,0.003170274,1.068965517
175,FLUSHING AVE-BROADWAY,40.7002809,-73.9411682,21826,2,6,9.16338E-05,0.333333333
153,FLUSHING AVENUE-MARCY AVE,40.69963965,-73.9490216,6130,1,13,0.000163132,0.076923077
70,FORDHAM ROAD & JEROME AVE,40.8628529,-73.9010203,25365,,1,0,0
185,FOREST AVENUE-PUTNAM AVENUE,40.7043548,-73.9030596,10126,1,15,9.87557E-05,0.066666667
182,FORT HAMILTON PARKWAY-62ND,40.647105,-73.9819474,17193,,3,0,0
73,FRANKLIN AVE/EASTERN PKWY,40.669779,-73.9582919,28058,5,17,0.000178202,0.294117647
143,FRANKLIN AVENUE-FULTON ST,40.6811277,-73.9557068,12627,9,31,0.000712758,0.290322581
189,FREEMAN ST-SOUTHERN BLVD,40.8299195,-73.8917941,10781,,2,0,0
7,FULTON STREET,40.686309,-73.9744399,100827,2,4,1.9836E-05,0.5
178,GATES AVENUE-BROADWAY,40.6895761,-73.9222019,13438,2,6,0.000148832,0.333333333
39,GRAND ARMY PLAZA,40.6741411,-73.97013926,17319,5,15,0.0002887,0.333333333
125,GRAND ST-BUSHWICK AVE,40.7119711,-73.9406949,11908,16,22,0.001343635,0.727272727
121,GREENPOINT AVE,40.73036,-73.9525069,21011,10,33,0.000475941,0.303030303
179,HALSEY STREET-BROADWAY,40.6863449,-73.9165406,12963,,9,0,0
162,HEWES STREET-BROADWAY,40.7068552,-73.9533503,7784,7,11,0.000899281,0.636363636
117,HOYT STREET-HOYT STREET,40.689631,-73.9857389,9103,7,10,0.000768977,0.7
186,JACKSON AVENUE-WESTCHESTER,40.816519,-73.90778,12726,,2,0,0
56,JAY ST-METROTECH,40.6922283,-73.9872888,95184,18,25,0.000189107,0.72
46,JUNIUS STREET,40.662125,-73.9010529,4751,,,0,#DIV/0!
107,KINGS HIGHWAY-EAST 16TH ST,40.6083137,-73.9573055,39730,,6,0,0
76,KINGS HIGHWAY-MCDONALD AVE,40.6030821,-73.9723596,8505,,1,0,0
85,KINGSBRIDGE RD-JEROME AVE,40.8676616,-73.8972239,20655,,6,0,0
74,KINGSTON AVE/EASTERN PKWY,40.672078,-73.9419449,14875,,4,0,0
190,KNICKERBOCKER AVE-MYRTLE AV,40.6987479,-73.9189811,8854,1,4,0.000112943,0.25
177,KOSCIUSZKO STREET-BROADWAY,40.6934095,-73.9289536,9523,,4,0,0
138,LAFAYETTE AVENUE-FULTON ST,40.6863074,-73.9744304,10862,7,31,0.000644449,0.225806452
9,LEXINGTON AVENUE,40.80567,-73.9364709,130066,7,17,5.38188E-05,0.411764706
200,LIBERTY AVE-PENNSYLVANIA AV,40.6744049,-73.8965126,5285,,,0,#DIV/0!
161,LIVONIA AVE-VAN SINDEREN AV,40.6636981,-73.9005231,5781,,,0,#DIV/0!
204,LONGWOOD AVE-SOUTHERN BLVD,40.8162276,-73.896217,7378,,,0,#DIV/0!
163,LORIMER STREET-BROADWAY,40.7038293,-73.9473618,9861,1,2,0.00010141,0.5
35,MAIN STREET,40.7032441,-73.9906657,94467,8,15,8.46857E-05,0.533333333
61,METROPOLITAN AVENUE,40.714072,-73.9543399,9058,90,85,0.009935968,1.058823529
131,MONTROSE AVENUE,40.7065829,-73.9510875,13650,5,8,0.0003663,0.625
141,MORGAN AVENUE-HARRISON PL,40.7062248,-73.9326982,15766,1,18,6.34276E-05,0.055555556
176,MYRTLE AVENUE-BROADWAY,40.6973342,-73.9357162,23166,1,5,4.31667E-05,0.2
126,NASSAU AVE-MANHATTAN AVE,40.723944,-73.9508909,19892,35,34,0.001759501,1.029411765
36,NEVINS STREET,40.6784721,-73.9878231,25769,,1,0,0
49,NEW LOTS AVENUE,40.656684,-73.9045299,12781,,3,0,0
174,NEW LOTS AV-VAN SINDEREN AV,40.6589611,-73.8992787,8298,,,0,#DIV/0!
79,NEWKIRK AVE-NOSTRAND AVE,40.6399631,-73.9484143,17840,,4,0,0
82,NEWKIRK PLAZA,40.634908,-73.9627491,22729,,12,0,0
144,NORTHERN BLVD-BROADWAY,40.7530198,-73.9062386,14651,2,6,0.000136509,0.333333333
198,NORWOOD AVENUE-FULTON ST,40.6817017,-73.8790759,9443,,,0,#DIV/0!
41,NOSTRAND AVENUE,40.6783847,-73.9481991,8393,,18,0,0
15,PARK PLACE,40.67312,-73.9446279,159827,,,0,#DIV/0!
67,PARSONS BLVD & HILLSIDE AV,40.7073827,-73.8037847,14169,1,,7.05766E-05,#DIV/0!
195,PELHAM PKWY-ESPLANADE,40.859229,-73.855036,8354,,3,0,0
166,PELHAM PKWY-WHITE PLAINS RD,40.8572477,-73.867656,18656,,2,0,0
47,PENNSYLVANIA AVENUE,40.6431928,-73.8758501,11971,,,0,#DIV/0!
187,PROSPECT AVENUE-WESTCHESTER,40.8196507,-73.9016566,16457,,,0,#DIV/0!
71,QUEENSBORO PLAZA,40.750353,-73.9397081,22020,15,8,0.000681199,1.875
149,RECTOR STREET-GREENWICH ST,40.7073629,-74.01385,30023,60,63,0.001998468,0.952380952
45,ROCKAWAY AVENUE,40.6781335,-73.9107585,12658,,,0,#DIV/0!
180,ROCKAWAY BLVD-LIBERTY AVE,40.6804813,-73.8437454,16169,,1,0,0
11,ROOSEVELT AVE/JACKSON HTS,40.7468181,-73.8917048,95929,2,14,2.08488E-05,0.142857143
128,ROOSEVELT ISLAND,40.7614177,-73.95022807,9747,219,305,0.022468452,0.718032787
44,SARATOGA AVENUE,40.657362,-73.9144129,14358,,3,0,0
80,SHEEPSHEAD BAY ROAD,40.587072,-73.9527829,31018,,3,0,0
188,SIMPSON ST-WESTCHESTER AVE,40.8241366,-73.8929648,16921,,1,0,0
137,SPRING STREET-6TH AVENUE,40.7255097,-74.0040301,33715,90,99,0.002669435,0.909090909
155,SPRING STREET-LAFAYETTE ST,40.7223025,-73.9971855,34247,552,429,0.0161182,1.286713287
50,ST GEORGE TERMINAL,40.6440501,-74.0725752,31446,,,0,#DIV/0!
106,STERLING ST-NOSTRAND AVE,40.6631179,-73.9508971,13248,,11,0,0
