,STATION,LAT,LON,FF
185,36TH STREET-4TH AVENUE        ,40.6542835,-74.0043769,28681
189,WOODHAVEN BLVD-QUEENS BLVD    ,40.733229,-73.8696415,50847
190,63RD DRIVE-REGO PARK          ,40.722972,-73.8669459,40452
191,23RD STREET-6TH AVENUE        ,40.7428886,-73.992802,41271
193,149TH ST-GRAND CONCOURSE      ,40.8182339,-73.9274649,27361
197,STERLING ST-NOSTRAND AVE      ,40.6631179,-73.9508971,13248
199,KINGS HIGHWAY-EAST 16TH ST    ,40.6083137,-73.9573055,39730
201,BAY RIDGE AVE-4TH AVENUE      ,40.6346594,-74.0234751,18372
202,77TH STREET-4TH AVENUE        ,40.6294337,-74.0255833,14258
203,86TH STREET-4TH AVENUE        ,40.6229728,-74.0282305,21357
204,BAY RIDGE - 95TH STREET       ,40.6161881,-74.0310127,15668
206,ELMHURST AVE-BROADWAY         ,40.7421495,-73.8814583,27856
207,67TH AVENUE-QUEENS BLVD       ,40.726797,-73.8532478,21456
208,CARROLL ST-PRESIDENT ST       ,40.6810586,-73.9944893,28268
211,46TH ST-BLISS ST              ,40.7431326,-73.9182509,31308
212,CLARK STREET-HENRY STREET     ,40.6974653,-73.9930222,14287
213,HOYT STREET-HOYT STREET       ,40.689631,-73.9857389,9103
219,UNION STREET-4TH AVENUE       ,40.6771863,-73.9832016,15195
222,50TH STREET-NEW UTRECHT AVE   ,40.636068,-73.9947864,9340
224,DEKALB AVE-WYCKOFF AVE        ,40.704312,-73.9192304,24848
227,GREENPOINT AVE                ,40.73036,-73.9525069,21011
230,18TH AVE-MCDONALD AVE         ,40.629611,-73.9769496,10145
232,BURNSIDE AVE-JEROME AVE       ,40.8534329,-73.9077223,23812
235,55TH ST-NEW UTRECHT AVE       ,40.6311405,-73.9955211,6296
238,GRAND ST-BUSHWICK AVE         ,40.7119711,-73.9406949,11908
244,NASSAU AVE-MANHATTAN AVE      ,40.723944,-73.9508909,19892
246,4TH AVENUE-9TH STREET         ,40.6703574,-73.9900272,28445
247,ROOSEVELT ISLAND              ,40.7614177,-73.9502280671115,9747
248,181ST STREET-ST NICHOLAS AV   ,40.8490975,-73.9337471,22337
249,40TH STREET-LOWERY STREET     ,40.7438746,-73.9244309,23726
253,MONTROSE AVENUE               ,40.7065829,-73.9510875,13650
255,46TH STREET-BROADWAY          ,40.756685,-73.9140471,22287
259,AVENUE X-MCDONALD AVENUE      ,40.5901547,-73.9741859,6875
260,28TH STREET-7TH AVENUE        ,40.7472153,-73.9933665,39359
262,191ST STREET-ST NICHOLAS AV   ,40.855256,-73.9293871,17756
269,72ND STREET-CENTRAL PK WEST   ,40.7762665,-73.9763215,20825
270,SPRING STREET-6TH AVENUE      ,40.7255097,-74.0040301,33715
271,LAFAYETTE AVENUE-FULTON ST    ,40.6863074,-73.9744304,10862
276,7TH AVENUE-9TH STREET         ,40.6669775,-73.9816502,28471
281,34TH STREET - PENN STATION    ,40.7509993,-73.990625,199430
282,MORGAN AVENUE-HARRISON PL     ,40.7062248,-73.9326982,15766
284,163RD ST & AMSTERDAM AVE      ,40.8369515,-73.940147,7911
285,FRANKLIN AVENUE-FULTON ST     ,40.6811277,-73.9557068,12627
286,NORTHERN BLVD-BROADWAY        ,40.7530198,-73.9062386,14651
287,BROADWAY - UNION AVENUE       ,40.7056438,-73.950212,7018
289,YORK STREET-JAY STREET        ,40.7013735,-73.9866843,19713
290,57TH STREET-6TH AVENUE        ,40.7642141,-73.9772704,43330
291,21ST STREET-QUEENSBRIDGE      ,40.7538909,-73.9422758,15626
292,RECTOR STREET-GREENWICH ST    ,40.7073629,-74.01385,30023
293,238TH STREET-BROADWAY         ,40.8850362,-73.9007288,10160
294,138TH ST-GRAND CONCOURSE      ,40.8132651,-73.9299039,8408
300,BUSHWICK AVENUE-ABERDEEN ST   ,40.6827996,-73.9052062,2707
303,FLUSHING AVENUE-MARCY AVE     ,40.69963965,-73.9490215989286,6130
308,18TH STREET-7TH AVENUE        ,40.7410377,-73.9978619,22478
309,SPRING STREET-LAFAYETTE ST    ,40.7223025,-73.9971855,34247
313,ZEREGA AVE-WESTCHESTER AVE    ,40.8366151,-73.8470306,11966
317,3RD AVENUE-14TH STREET        ,40.665028,-73.9864499,15578
327,65TH STREET-BROADWAY          ,40.7496469,-73.8984007,8296
328,75TH AVENUE-QUEENS BLVD       ,40.7184711,-73.8373842,9094
333,COURT SQ                      ,40.7465249,-73.9430474,8991
337,LIVONIA AVE-VAN SINDEREN AV   ,40.6636981,-73.9005231,5781
338,HEWES STREET-BROADWAY         ,40.7068552,-73.9533503,7784
339,LORIMER STREET-BROADWAY       ,40.7038293,-73.9473618,9861
340,104TH STREET-LIBERTY AVENUE   ,40.6817371,-73.8377128,5261
346,21ST STREET-JACKSON AVENUE    ,40.7477659,-73.9407579,3220
347,PELHAM PKWY-WHITE PLAINS RD   ,40.8572477,-73.867656,18656
348,ALLERTON AV-WHITE PLAINS RD   ,40.8647509,-73.8674619,13417
349,BURKE AVE-WHITE PLAINS ROAD   ,40.8706932,-73.867271,9397
351,219TH ST-WHITE PLAINS ROAD    ,40.8838063,-73.862641,9044
352,225TH ST-WHITE PLAINS ROAD    ,40.8879783,-73.86033,11147
353,233RD ST-WHITE PLAINS ROAD    ,40.8933654,-73.8573551,12643
356,71ST STREET-NEW UTRECHT AVE   ,40.6193259,-73.9989348,10917
360,BAY PARKWAY-86TH STREET       ,40.6019098,-73.9938063,14563
361,NEW LOTS AV-VAN SINDEREN AV   ,40.6589611,-73.8992787,8298
363,FLUSHING AVE-BROADWAY         ,40.7002809,-73.9411682,21826
364,MYRTLE AVENUE-BROADWAY        ,40.6973342,-73.9357162,23166
365,KOSCIUSZKO STREET-BROADWAY    ,40.6934095,-73.9289536,9523
366,GATES AVENUE-BROADWAY         ,40.6895761,-73.9222019,13438
367,HALSEY STREET-BROADWAY        ,40.6863449,-73.9165406,12963
371,ROCKAWAY BLVD-LIBERTY AVE     ,40.6804813,-73.8437454,16169
375,BRONX PARK EAST               ,40.852088,-73.8686089,6336
377,FORT HAMILTON PARKWAY-62ND    ,40.647105,-73.9819474,17193
386,BAY 50TH STREET-STILLWELL     ,40.5886755,-73.9837274,5581
387,CENTRAL AVE-MYRTLE AVE        ,40.6978875,-73.9274247,6496
389,FOREST AVENUE-PUTNAM AVENUE   ,40.7043548,-73.9030596,10126
391,JACKSON AVENUE-WESTCHESTER    ,40.816519,-73.90778,12726
